time,value
0,939
1,943
2,971
3,1014
4,1041
5,1023
6,1030
7,1004
8,995
9,989
10,984
11,984
12,991
13,1000
14,1013
15,1014
16,1001
17,988
18,1024
19,1041
20,1038
21,1040
22,999
23,1043
24,1064
25,1077
26,1058
27,1068
28,1075
29,1104
30,1083
31,1096
32,1067
33,1078
34,1080
35,1105
36,1112
37,1121
38,1099
39,1080
40,1083
41,1138
42,1078
43,1101
44,1103
45,1119
46,1119
47,1121
48,1113
49,1046
50,1087
51,1086
52,1099
53,1089
54,1128
55,1112
56,1112
57,1099
58,1098
59,1095
60,1088
61,1069
62,1089
63,1067
64,1101
65,1100
66,1102
67,1136
68,1130
69,1110
70,1102
71,1090
72,1043
73,1025
74,991
75,1006
76,983
77,1006
78,985
79,968
80,973
81,1000
82,1004
83,1004
84,1013
85,1017
86,1016
87,1005
88,1008
89,997
90,992
91,991
92,1012
93,1018
94,1011
95,1010
96,1000
97,1006
98,1000
99,1012
100,1001
101,1013
102,1014
103,1001
104,1009
105,1006
106,1003
107,995
108,1007
109,1014
110,1008
111,1014
112,1010
113,1014
114,1010
115,1009
116,1022
117,1023
118,1024
119,1022
120,1068
121,1088
122,1106
123,1142
124,1160
125,1257
126,1335
127,1352
128,1390
129,1449
130,1495
131,1511
132,1561
133,1593
134,1684
135,1644
136,1598
137,1621
138,1657
139,1673
140,1667
141,1609
142,1617
143,1583
144,1595
145,1615
146,1606
147,1607
148,1592
149,1594
150,1603
151,1551
152,1546
153,1604
154,1585
155,1551
156,1542
157,1522
158,1488
159,1451
160,1391
161,1369
162,1315
163,1248
164,1198
165,1184
166,1183
167,1180
168,1148
169,1083
170,1077
171,1093
172,1095
173,1081
174,1035
175,1051
176,1045
177,1025
178,1033
179,1068
180,1065
181,1050
182,1006
183,1007
184,1026
185,1029
186,1035
187,1043
188,1011
189,1005
190,1025
191,1018
192,1055
193,1078
194,1055
195,1029
196,988
197,924
198,985
199,990
200,991
201,991
202,995
203,987
204,999
205,1026
206,1035
207,1036
208,1063
209,1059
210,1079
211,1076
212,1036
213,1025
214,1013
215,1025
216,1043
217,1052
218,1091
219,1155
220,1205
221,1348
222,1393
223,1434
224,1471
225,1566
226,1665
227,1637
228,1622
229,1722
230,1684
231,1613
232,1579
233,1621
234,1641
235,1646
236,1631
237,1637
238,1586
239,1626
240,1593
241,1646
242,1678
243,1688
244,1654
245,1625
246,1607
247,1589
248,1600
249,1595
250,1550
251,1503
252,1475
253,1520
254,1563
255,1520
256,1448
257,1382
258,1337
259,1309
260,1291
261,1243
262,1176
263,1160
264,1102
265,1057
266,1068
267,1062
268,1056
269,1053
270,1025
271,1071
272,1055
273,1036
274,1067
275,1095
276,1097
277,1051
278,1049
279,1034
280,1036
281,1057
282,1046
283,1028
284,1055
285,1053
286,1052
287,1042
288,1039
289,1064
290,1087
291,1109
292,1065
293,1047
294,1032
295,1028
296,1035
297,1028
298,1018
299,1029
300,1024
301,1126
302,1031
303,1037
304,1016
305,1005
306,1057
307,1048
308,1060
309,1004
310,1024
311,1071
312,1091
313,1217
314,1101
315,1061
316,1046
317,1066
318,1086
319,1054
320,1041
321,1072
322,1077
323,1089
324,1077
325,1089
326,1108
327,1108
328,1107
329,1110
330,1097
331,1141
332,1126
333,1106
334,1118
335,1133
336,1097
337,1097
338,1114
339,1108
340,1124
341,1118
342,1112
343,1106
344,1080
345,1077
346,1072
347,1085
348,1113
349,1075
350,1073
351,1094
352,1103
353,1099
354,1111
355,1109
356,1099
357,1093
358,1097
359,1073
360,1071
361,1062
362,1054
363,1059
364,1030
365,1011
366,1006
367,1077
368,1129
369,1116
370,1111
371,1103
372,1071
373,1047
374,1024
375,1039
376,1020
377,1013
378,1043
379,1025
380,1032
381,1009
382,1004
383,990
384,1011
385,1000
386,1007
387,1015
388,1004
389,1011
390,1020
391,974
392,981
393,974
394,984
395,977
396,973
397,966
398,969
399,1020
400,1005
401,1009
402,1013
403,1005
404,1005
405,1009
406,1024
407,1024
408,1020
409,998
410,998
411,983
412,978
413,977
414,1009
415,994
416,1017
417,1007
418,1018
419,1033
420,1037
421,1029
422,1040
423,1020
424,1022
425,1030
426,1032
427,1003
428,1021
429,1027
430,1037
431,1030
432,1020
433,1008
434,1004
435,1001
436,990
437,979
438,994
439,991
440,999
441,987
442,990
443,1012
444,1013
445,1012
446,1009
447,997
448,1015
449,1004
450,1016
451,1006
452,1024
453,1018
454,1005
455,1007
456,1018
457,1028
458,1030
459,1024
460,1038
461,1016
462,1014
463,1019
464,1016
465,1033
466,1025
467,1017
468,1013
469,1013
470,1020
471,1016
472,1012
473,1013
474,1011
475,1008
476,1019
477,1019
478,1022
479,1008
480,1001
481,1009
482,1009
483,1001
484,1002
485,1005
486,1004
487,1004
488,999
489,1011
490,1006
491,1015
492,1027
493,1027
494,1026
495,1029
496,1020
497,1014
498,1028
499,1028
500,1011
501,1023
502,1031
503,1044
504,1044
505,1123
506,1134
507,1158
508,1215
509,1287
510,1367
511,1454
512,1528
513,1653
514,1742
515,1720
516,1699
517,1728
518,1752
519,1767
520,1799
521,1836
522,1830
523,1855
524,1904
525,1843
526,1849
527,1833
528,1837
529,1838
530,1836
531,1854
532,1817
533,1810
534,1814
535,1807
536,1773
537,1798
538,1755
539,1743
540,1736
541,1749
542,1748
543,1706
544,1679
545,1631
546,1603
547,1448
548,1375
549,1393
550,1327
551,1345
552,1309
553,1158
554,1176
555,1196
556,1197
557,1168
558,1146
559,1151
560,1071
561,1108
562,1118
563,1130
564,1086
565,1139
566,1148
567,1130
568,1136
569,1127
570,1125
571,1095
572,1078
573,1088
574,1106
575,1104
576,1076
577,1104
578,1097
579,1095
580,1132
581,1076
582,1135
583,1114
584,1081
585,1123
586,1074
587,1030
588,1035
589,1061
590,1060
591,1079
592,1112
593,1096
594,1132
595,1148
596,1149
597,1135
598,1119
599,1131
600,1152
601,1198
602,1202
603,1335
604,1344
605,1323
606,1422
607,1463
608,1629
609,1839
610,1822
611,1847
612,1833
613,1979
614,1936
615,1874
616,1862
617,1895
618,1820
619,1856
620,1859
621,1803
622,1763
623,1834
624,1822
625,1813
626,1836
627,1828
628,1757
629,1745
630,1796
631,1794
632,1779
633,1749
634,1811
635,1783
636,1706
637,1724
638,1702
639,1637
640,1603
641,1561
642,1475
