time,value,label
0,889.0,0.0
1,914.0,0.0
2,944.0,0.0
3,968.0,0.0
4,984.0,0.0
5,1038.0,0.0
6,1101.0,0.0
7,1116.0,0.0
8,1118.0,0.0
9,1175.0,0.0
10,1229.0,0.0
11,1383.0,0.0
12,1445.0,0.0
13,1467.0,0.0
14,1415.0,0.0
15,1487.0,0.0
16,1541.0,0.0
17,1506.0,0.0
18,1449.0,0.0
19,1524.0,0.0
20,1496.0,0.0
21,1551.0,0.0
22,1565.0,0.0
23,1538.0,0.0
24,1517.0,0.0
25,1476.0,0.0
26,1493.0,0.0
27,1507.0,0.0
28,1527.0,0.0
29,1516.0,0.0
30,1515.0,0.0
31,1524.0,0.0
32,1500.0,0.0
33,1480.0,0.0
34,1441.0,0.0
35,1456.0,0.0
36,1496.0,0.0
37,1452.0,0.0
38,1452.0,0.0
39,1435.0,0.0
40,1409.0,0.0
41,1389.0,0.0
42,1366.0,0.0
43,1357.0,0.0
44,1315.0,0.0
45,1235.0,0.0
46,1194.0,0.0
47,1150.0,0.0
48,1130.0,0.0
49,1088.0,0.0
50,1045.0,0.0
51,1019.0,0.0
52,1011.0,0.0
53,994.0,0.0
54,989.0,0.0
55,983.0,0.0
56,989.0,0.0
57,993.0,0.0
58,986.0,0.0
59,976.0,0.0
60,948.0,0.0
61,951.0,0.0
62,962.0,0.0
63,972.0,0.0
64,964.0,0.0
65,962.0,0.0
66,977.0,0.0
67,979.0,0.0
68,994.0,0.0
69,988.0,0.0
70,1001.0,0.0
71,988.0,0.0
72,1000.0,0.0
73,989.0,0.0
74,995.0,0.0
75,984.0,0.0
76,1000.0,0.0
77,982.0,0.0
78,991.0,0.0
79,983.0,0.0
80,996.0,0.0
81,985.0,0.0
82,980.0,0.0
83,980.0,0.0
84,1002.0,0.0
85,970.0,0.0
86,970.0,0.0
87,969.0,0.0
88,955.0,0.0
89,959.0,0.0
90,947.0,0.0
91,966.0,0.0
92,940.0,0.0
93,930.0,0.0
94,929.0,0.0
95,946.0,0.0
96,905.0,0.0
97,901.0,0.0
98,924.0,0.0
99,947.0,0.0
100,988.0,0.0
101,1054.0,0.0
102,1091.0,0.0
103,1153.0,0.0
104,1180.0,0.0
105,1263.0,0.0
106,1342.0,0.0
107,1448.0,0.0
108,1490.0,0.0
109,1459.0,0.0
110,1492.0,0.0
111,1577.0,0.0
112,1572.0,0.0
113,1551.0,0.0
114,1557.0,0.0
115,1615.0,0.0
116,1571.0,0.0
117,1563.0,0.0
118,1587.0,0.0
119,1542.0,0.0
120,1538.0,0.0
121,1511.0,0.0
122,1544.0,0.0
123,1526.0,0.0
124,1560.0,0.0
125,1538.0,0.0
126,1532.0,0.0
127,1523.0,0.0
128,1506.0,0.0
129,1501.0,0.0
130,1464.0,0.0
131,1486.0,0.0
132,1473.0,0.0
133,1464.0,0.0
134,1467.0,0.0
135,1453.0,0.0
136,1427.0,0.0
137,1414.0,0.0
138,1372.0,0.0
139,1318.0,0.0
140,1233.0,0.0
141,1152.0,0.0
142,1070.0,0.0
143,1027.0,0.0
144,1039.0,0.0
145,1018.0,0.0
146,1000.0,0.0
147,958.0,0.0
148,944.0,0.0
149,963.0,0.0
150,974.0,0.0
151,979.0,0.0
152,941.0,0.0
153,950.0,0.0
154,925.0,0.0
155,925.0,0.0
156,898.0,0.0
157,916.0,0.0
158,920.0,0.0
159,932.0,0.0
160,924.0,0.0
161,923.0,0.0
162,935.0,0.0
163,943.0,0.0
164,954.0,0.0
165,960.0,0.0
166,972.0,0.0
167,983.0,0.0
168,983.0,0.0
169,991.0,0.0
170,958.0,0.0
171,967.0,0.0
172,921.0,0.0
173,961.0,0.0
174,968.0,0.0
175,961.0,0.0
176,957.0,0.0
177,934.0,0.0
178,898.0,0.0
179,899.0,0.0
180,935.0,0.0
181,952.0,0.0
182,928.0,0.0
183,935.0,0.0
184,931.0,0.0
185,950.0,0.0
186,937.0,0.0
187,958.0,0.0
188,958.0,0.0
189,957.0,0.0
190,955.0,0.0
191,964.0,0.0
192,971.0,0.0
193,974.0,0.0
194,943.0,0.0
195,1009.0,0.0
196,1029.0,0.0
197,1085.0,0.0
198,1154.0,0.0
199,1202.0,0.0
200,1248.0,0.0
201,1285.0,0.0
202,1391.0,0.0
203,1520.0,0.0
204,1521.0,0.0
205,1533.0,0.0
206,1571.0,0.0
207,1673.0,0.0
208,1658.0,0.0
209,1598.0,0.0
210,1558.0,0.0
211,1607.0,0.0
212,1611.0,0.0
213,1559.0,0.0
214,1566.0,0.0
215,1549.0,0.0
216,1522.0,0.0
217,1529.0,0.0
218,1551.0,0.0
219,1572.0,0.0
220,1588.0,0.0
221,1609.0,0.0
222,1578.0,0.0
223,1518.0,0.0
224,1540.0,0.0
225,1515.0,0.0
226,1474.0,0.0
227,1470.0,0.0
228,1556.0,0.0
229,1614.0,0.0
230,1591.0,0.0
231,1591.0,0.0
232,1586.0,0.0
233,1558.0,0.0
234,1548.0,0.0
235,1508.0,0.0
236,1443.0,0.0
237,1336.0,0.0
238,1248.0,0.0
239,1161.0,0.0
240,1134.0,0.0
241,1119.0,0.0
242,1056.0,0.0
243,1010.0,0.0
244,987.0,0.0
245,984.0,0.0
246,959.0,0.0
247,947.0,0.0
248,935.0,0.0
249,938.0,0.0
250,943.0,0.0
251,915.0,0.0
252,932.0,0.0
253,953.0,0.0
254,964.0,0.0
255,960.0,0.0
256,945.0,0.0
257,968.0,0.0
258,979.0,0.0
259,972.0,0.0
260,955.0,0.0
261,968.0,0.0
262,973.0,0.0
263,975.0,0.0
264,982.0,0.0
265,975.0,0.0
266,988.0,0.0
267,991.0,0.0
268,990.0,0.0
269,999.0,0.0
270,1003.0,0.0
271,1007.0,0.0
272,976.0,0.0
273,930.0,0.0
274,984.0,0.0
275,989.0,0.0
276,952.0,0.0
277,940.0,0.0
278,965.0,0.0
279,980.0,0.0
280,974.0,0.0
281,998.0,0.0
282,1004.0,0.0
283,992.0,0.0
284,1002.0,0.0
285,1010.0,0.0
286,983.0,0.0
287,954.0,0.0
288,951.0,0.0
289,975.0,0.0
290,988.0,0.0
291,1015.0,0.0
292,1060.0,0.0
293,1082.0,0.0
294,1118.0,0.0
295,1203.0,0.0
296,1220.0,0.0
297,1309.0,0.0
298,1361.0,0.0
299,1479.0,0.0
300,1541.0,0.0
301,1589.0,0.0
302,1622.0,0.0
303,1641.0,0.0
304,1661.0,0.0
305,1658.0,0.0
306,1624.0,0.0
307,1650.0,0.0
308,1631.0,0.0
309,1635.0,0.0
310,1652.0,0.0
311,1688.0,0.0
312,1639.0,0.0
313,1599.0,0.0
314,1559.0,0.0
315,1543.0,0.0
316,1625.0,0.0
317,1567.0,0.0
318,1589.0,0.0
319,1547.0,0.0
320,1570.0,0.0
321,1521.0,0.0
322,1522.0,0.0
323,1524.0,0.0
324,1522.0,0.0
325,1531.0,0.0
326,1523.0,0.0
327,1490.0,0.0
328,1460.0,0.0
329,1484.0,0.0
330,1415.0,0.0
331,1358.0,0.0
332,1319.0,0.0
333,1207.0,0.0
334,1168.0,0.0
335,1090.0,0.0
336,1100.0,0.0
337,1058.0,0.0
338,1017.0,0.0
339,1008.0,0.0
340,984.0,0.0
341,980.0,0.0
342,974.0,0.0
343,990.0,0.0
344,973.0,0.0
345,949.0,0.0
346,951.0,0.0
347,947.0,0.0
348,911.0,0.0
349,932.0,0.0
350,939.0,0.0
351,948.0,0.0
